"id";"chinese";"english";"classification1";"classification2";"classification3";"source";"remark";"contributor";"image";"xremark";"sentenceCN";"sentenceCNResource";"sentenceEN";"sentenceENResource";"abbreviationCN";"abbreviationEN";"synonymCN";"synonymEN";"definationCN";"definationCNResource";"definationEN";"definationENResource";"status";"totalClick"
1;"《风力发电场安全规程》";"Wind Farm Safety Procedures";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
2;"动火作业";"hot work";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
3;"短路";"short circuit";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
4;"工作危害分析";"job hazard analysis";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
5;"工作危害分析";"JHA";"风电";"HSE ";"Safety";"";"abbr.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
6;"人身伤害";"personal injury";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
7;"危险源";"source of danger";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
8;"遗留风险";"residual risk";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
9;"防护等级";"degree of protection";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
10;"隔离";"isolation ";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
11;"电击";"electric shock";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
12;"绝缘杆作业";"hot stick working";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
13;"带电作业";"live working";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
14;"带电作业区域";"live working zone";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
15;"等电位作业";"potential working";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
16;"等电位作业";"bare hand working ";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
17;"绝缘手套作业";"insulating glove working";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
18;"橡胶手套作业";"rubber working";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
19;"绝缘杆";"insulating stick";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
20;"操作杆";"hand stick";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
21;"支撑杆";"support stick";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
22;"保护罩";"protective cover";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
23;"屏蔽服";"screening clothing";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
24;"绝缘组件";"insulating assembly  ";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
25;"安全监察与环保部";"Safety Supervision and Environmental Protection Department";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
26;"安全管理部";"Safety Management Department";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
27;"安全质量部";"Safety and Quality Department";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
28;"安全、质量、环境管理委员会";"Management Committee for Safety, Quality and Environment";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
29;"消防系统";"firefighting system";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
30;"自动消防系统";"automatic fire suppression system";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
31;"自动消防系统";"automatic fire-fighting system";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
32;"火灾报警系统";"fire alarm system";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
33;"灭火器";"fire extinguisher";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
34;"干粉灭火器";"dry chemical extinguisher";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
35;"干粉灭火剂";"dry powder extinguishing agent";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
36;"干粉灭火装置";"dry powder fire extinguishing equipment";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
37;"吸气式感烟火灾探测器";"aspirating smoke detector";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
38;"点型感温火灾探测器";"point type heat detector ";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
39;"感温探测器";"heat detector";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
40;"感烟探测器";"smoke detector";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
41;"热气溶胶灭火剂";"condensed aerosol extinguishing agent";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
42;"热气溶胶灭火装置";"condensed aerosol fire extinguishing device";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
43;"火灾应急预案";"fire contingency plan ";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
44;"紧急无线电示位标";"Emergency Positioning Indicating Radio Beacon";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
45;"安全规程";"safety regulations";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
46;"工业安全帽";"industrial safety helmet";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
47;"安全帽";"safety helmet";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
48;"安全绳";"lanyard";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
49;"安全手册";"safety manual";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
50;"安全系数";"safety factor";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
51;"安全鞋";"safety shoes";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
52;"安全衣";"full-body harness";"风电";"HSE ";"Safety";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0
